base1,base2,base3,base4,base5
7,19,67,259,1027
7,19,67,259,2051
7,19,67,515,2051
7,19,131,515,2051
7,19,195,579,2115
7,19,323,771,2307
7,21,37,261,517
7,21,37,517,1029
7,22,70,262,1030
7,22,70,262,2054
7,22,70,518,2054
7,22,134,518,2054
7,35,131,515,2051
7,37,69,517,1029
7,37,69,1029,2053
7,38,134,518,2054
7,49,163,289,2083
7,49,163,291,2083
7,51,147,530,2067
7,51,147,531,2067
7,51,163,289,2083
7,51,163,291,1059
7,51,163,291,2083
7,53,149,277,1045
7,53,277,2181,3077
7,53,277,2181,3093
7,53,277,2197,3077
7,53,277,2197,3093
7,53,389,1301,2069
7,53,389,1301,2325
7,53,405,1301,2069
7,53,405,1301,2325
7,53,2181,2325,3077
7,53,2181,2325,3093
7,53,2197,2325,3077
7,53,2197,2325,3093
7,54,134,518,2086
7,54,134,550,2086
7,54,166,518,2086
7,54,166,550,2086
7,67,259,1043,3075
7,67,275,1283,2307
7,67,1043,1283,3075
7,69,133,1029,2053
7,83,147,531,2067
7,83,195,579,2115
7,83,259,1091,2114
7,83,259,1091,2115
7,83,275,531,2067
7,83,323,1091,2114
7,83,323,1091,2115
7,134,530,550,2566
7,134,534,550,2566
7,147,163,641,1155
7,147,163,643,1155
7,149,389,1156,2181
7,149,389,1157,2181
7,150,166,518,2182
7,150,166,646,2182
7,150,198,646,2054
7,150,198,646,2182
7,181,277,1077,2069
7,181,277,1077,2101
7,181,309,1077,2069
7,181,309,1077,2101
7,259,1043,1091,3075
7,275,323,771,2307
7,275,323,1283,2307
7,277,289,389,2309
7,277,293,389,2309
7,277,421,1413,2181
7,277,421,1413,2437
7,277,2101,2181,3077
7,277,2101,2181,3093
7,277,2101,2197,3077
7,277,2101,2197,3093
7,294,324,1286,2310
7,294,326,1286,2310
7,309,389,1301,2069
7,309,389,1301,2325
7,309,405,1301,2069
7,309,405,1301,2325
7,389,2069,2213,3077
7,389,2069,2213,3205
7,389,2197,2213,3077
7,389,2197,2213,3205
7,405,421,1413,2181
7,405,421,1413,2437
7,530,550,646,2566
7,534,550,646,2566
7,534,582,774,2054
7,534,582,774,2566
7,1043,1091,1283,3075
7,1046,1156,1286,3076
7,1046,1156,1286,3078
7,1046,1158,1286,3076
7,1046,1158,1286,3078
7,1062,1158,1286,3078
7,2069,2181,3109,3333
7,2069,2213,2437,3077
7,2069,2213,2437,3205
7,2069,3109,3205,3333
7,2070,2114,2310,3078
7,2070,2118,2182,2566
7,2070,2118,2310,2566
7,2070,2118,2310,3078
7,2085,2181,2309,3077
7,2101,2181,2325,3077
7,2101,2181,2325,3093
7,2101,2197,2325,3077
7,2101,2197,2325,3093
7,2181,3093,3109,3333
7,2197,2213,2437,3077
7,2197,2213,2437,3205
7,3093,3109,3205,3333
